SIMD without OpenMP vs BLAS vs OpenMP(no intrinsics)
#define M_BLOCKING 32
#define N_BLOCKING 64
#define K_BLOCKING 64


Benchmark Results:
      Implementation |      M |      N |      K |     GFLOPS |  Time (ms) |      Valid
------------------------------------------------------------------------------------------
            cpu_simd |    128 |    128 |    128 |      43.73 |       0.10 |        Yes
                BLAS |    128 |    128 |    128 |      67.90 |       0.06 |        Yes
                 OMP |    128 |    128 |    128 |      22.79 |       0.18 |        Yes
            cpu_simd |    256 |    256 |    256 |      47.12 |       0.71 |        Yes
                BLAS |    256 |    256 |    256 |     141.91 |       0.24 |        Yes
                 OMP |    256 |    256 |    256 |      33.18 |       1.01 |        Yes
            cpu_simd |    384 |    384 |    384 |      47.33 |       2.39 |        Yes
                BLAS |    384 |    384 |    384 |     113.69 |       1.00 |        Yes
                 OMP |    384 |    384 |    384 |      34.55 |       3.28 |        Yes
            cpu_simd |    512 |    512 |    512 |      45.97 |       5.84 |        Yes
                BLAS |    512 |    512 |    512 |     130.26 |       2.06 |        Yes
                 OMP |    512 |    512 |    512 |      12.60 |      21.30 |        Yes
            cpu_simd |    640 |    640 |    640 |      41.71 |      12.57 |        Yes
                BLAS |    640 |    640 |    640 |     197.33 |       2.66 |        Yes
                 OMP |    640 |    640 |    640 |      29.91 |      17.53 |        Yes
            cpu_simd |    768 |    768 |    768 |      46.28 |      19.58 |        Yes
                BLAS |    768 |    768 |    768 |     236.87 |       3.82 |        Yes
                 OMP |    768 |    768 |    768 |      35.92 |      25.22 |        Yes
            cpu_simd |    896 |    896 |    896 |      49.08 |      29.31 |        Yes
                BLAS |    896 |    896 |    896 |     225.98 |       6.37 |        Yes
                 OMP |    896 |    896 |    896 |      35.21 |      40.86 |        Yes
            cpu_simd |   1024 |   1024 |   1024 |      49.40 |      43.47 |        Yes
                BLAS |   1024 |   1024 |   1024 |     217.57 |       9.87 |        Yes
                 OMP |   1024 |   1024 |   1024 |      39.04 |      55.00 |        Yes
            cpu_simd |   1152 |   1152 |   1152 |      49.36 |      61.95 |        Yes
                BLAS |   1152 |   1152 |   1152 |     234.50 |      13.04 |        Yes
                 OMP |   1152 |   1152 |   1152 |      34.61 |      88.35 |        Yes
